method,entropy,k
random_family,1.0187853478395341,95
random_genus,1.0105908335020077,85
random,1.0096509632749207,100
mmdp,1.0816911170025192,95
random_family,1.0217458537334951,100
mdp,1.1158497497836197,90
random_genus,1.0126811736329475,90
random,1.010843302362952,105
mmdp,1.0820311223639694,100
random_family,1.0227764388949996,105
random_genus,1.0187938003641717,95
mdp,1.1153138844467971,95
random,1.0099687616604167,110
mmdp,1.078131022453604,105
random_family,1.0197605401546812,110
random_genus,1.0160203650990187,100
mdp,1.1109865463982604,100
random,1.0093263473913416,115
mmdp,1.0779594952070106,110
random_family,1.019147136097536,115
random_genus,1.0141068581839268,105
mdp,1.1122316251876465,105
random,1.0106650274304982,120
mmdp,1.0751256700426628,115
random_genus,1.0166407125700512,110
random_family,1.018006102689823,120
random_genus,1.0164103913277178,115
random,1.0096931225601613,125
mdp,1.1107745377845681,110
mmdp,1.0732447565475047,120
random_family,1.0166527263864276,125
mmdp,1.0727535947147229,125
random,1.008286032873999,130
mdp,1.110784116064537,115
random_genus,1.0166351281991604,120
random_family,1.0156318161167566,130
mmdp,1.0730289198551883,130
random,1.0128462371264906,135
random_genus,1.0156465436879072,125
random_family,1.0175993517240602,135
mdp,1.1109442674714904,120
random_genus,1.0132025417696822,130
random,1.0172054742755778,140
mmdp,1.0715952742953863,135
random_family,1.0170880263576836,140
mdp,1.1093895174286228,125
mmdp,1.0718748621763905,140
random,1.015930548692038,145
random_genus,1.0129627627440367,135
random_family,1.0153466564691933,145
mdp,1.1064971782414417,130
random_genus,1.0145737522359408,140
random,1.0146245172737847,150
mmdp,1.071121979602005,145
random_family,1.0153421403516907,150
mdp,1.1048895574387516,135
random_genus,1.0159163187377942,145
random,1.0123067235122791,155
mmdp,1.0726894794601762,150
random_genus,1.0159500911825414,150
random_family,1.0167573998736834,155
mdp,1.1025768541621004,140
random,1.0076629486480386,160
mmdp,1.072407033554672,155
random_family,1.01742638119248,160
random_genus,1.0158706098512111,155
mmdp,1.0741043347285217,160
random,1.007161011175305,165
random_family,1.0164197350545598,165
mdp,1.104446733294841,145
random_genus,1.015253415640012,160
