method,entropy_with_missing,entropy_without_missing,k
random_genus,1.2609348509289005,0.7272414997672387,60
random_family,1.2832602587466275,0.7334099610507246,75
mdp,1.2725434619549896,0.814814246234428,70
random_genus,1.2683891349207816,0.729927017311474,65
random,1.2650816619010758,0.7226829404252095,80
mmdp,1.3680663432734197,0.8275992686133485,75
random_family,1.275268321966717,0.7334749688090006,80
mdp,1.2811369152306997,0.8177215126525293,75
random,1.272540234775881,0.7238890259610494,85
random_genus,1.2712120751075948,0.7390287050008368,70
mmdp,1.3666067224605682,0.8261860683869424,80
random_family,1.2846752823166734,0.7378997880982986,85
mdp,1.2907372298045454,0.8187226421090913,80
random,1.2800248648224204,0.7250499223219224,90
random_genus,1.2805213264489093,0.7413882683989146,75
mmdp,1.3657195053190325,0.826508905493898,85
random_family,1.2928277593575805,0.7399650130036726,90
random_genus,1.2893057908094057,0.7433435543931941,80
random,1.2732688992218864,0.7254990051185637,95
mmdp,1.3648844982229031,0.8264159037600638,90
mdp,1.2900336306524833,0.8206293847358257,85
random_family,1.2943885389802021,0.7381731275424641,95
random_genus,1.2805915317670789,0.7409355196895631,85
random,1.2683243342240196,0.7256972739409024,100
mmdp,1.3637380097686433,0.8252586140871943,95
random_family,1.2948126266348943,0.7398735048698974,100
mdp,1.2854040111511886,0.8190979871015498,90
random_genus,1.2743019434948244,0.7377772369317778,90
random,1.2707019255844438,0.7284582463278546,105
mmdp,1.3613405908581038,0.8241262118317635,100
random_family,1.295867192852635,0.7422325118327168,105
mdp,1.2919355798447683,0.8211406926333422,95
random_genus,1.2812967825688788,0.7481467208022552,95
random,1.273407564154757,0.7256277786181912,110
mmdp,1.3599094348261842,0.8239356560549678,105
random_genus,1.2840449002668386,0.7476096422481564,100
random_family,1.292181484321309,0.7409061965813882,110
mdp,1.298399615452842,0.8245172115462659,100
random,1.2767414183547843,0.7273401607434037,115
random_genus,1.2862732761642584,0.7438406301298249,105
mmdp,1.3621897008825075,0.8227839095712325,110
random_family,1.2877434908602372,0.7398373033721637,115
mdp,1.3041707570784002,0.8269589189650847,105
mmdp,1.3599052464121684,0.8228360116387783,115
random,1.2789488439499876,0.7291462038819354,120
random_genus,1.2777818815213025,0.7483981939040114,110
random_family,1.2903161196587518,0.7352575497523702,120
mmdp,1.360467498939469,0.8238925291580922,120
random,1.272493886784487,0.7267989346994683,125
mdp,1.3127482363067962,0.8268355658480928,110
random_family,1.2814839314295152,0.7359640285653983,125
random_genus,1.281291413537751,0.7476018837813168,115
random_genus,1.2896516907311242,0.7454453456996943,120
random,1.2720878346055333,0.7273714761289107,130
mmdp,1.3605582423372005,0.8237321561345724,125
mdp,1.3111672132601448,0.8249252661212034,115
random_family,1.2757436620766416,0.7376250083091656,130
mmdp,1.3609955598963235,0.8230979744924799,130
random,1.274278277124782,0.730107310437956,135
mdp,1.3060011151848816,0.8251471702404876,120
random_genus,1.2846347865959935,0.7463665882719974,125
random_family,1.2856072711212234,0.7367457868520917,135
mmdp,1.357006692024382,0.8204997360463133,135
random,1.2822213676414786,0.7305599904645395,140
random_genus,1.2878401410501663,0.7494892843311176,130
mdp,1.3102998469007303,0.8240553682268992,125
random_family,1.28865756184013,0.7385559476085121,140
random_genus,1.2922330489378417,0.7483045514568653,135
random,1.284140877416985,0.7279902793003605,145
mmdp,1.3553512383548805,0.820347748498825,140
random_family,1.2894950425155154,0.7371047594518123,145
mdp,1.3239347280747067,0.8244725016139925,130
random_genus,1.2900300657781745,0.7450719153602574,140
random,1.2808683009865969,0.7303145205377419,150
mmdp,1.3517191609977912,0.8183412655544052,145
random_family,1.2936177224780079,0.7369930436692662,150
random_genus,1.2901124908783994,0.745260855094009,145
mdp,1.3272075638151186,0.8264278870596404,135
random,1.2822575396083928,0.7292037118087762,155
mmdp,1.3505578543219643,0.8183707894785256,150
random_family,1.29210565809114,0.7388153544610297,155
mdp,1.324905552836824,0.8264014144172698,140
random_genus,1.2896532736479296,0.7477624678978492,150
random,1.2732435288742014,0.7286484880257982,160
mmdp,1.3498129949228062,0.8178725114024864,155
random_family,1.2886583725530367,0.7380389346887715,160
random_genus,1.2866576458439103,0.7481711006157636,155
mdp,1.3251614456730942,0.8280281744801405,145
random,1.266999476414366,0.7284608406807263,165
mmdp,1.3475422005588347,0.8177890592444086,160
random_genus,1.2806709867268153,0.7477823986447587,160
random_family,1.2877708390668676,0.7387087229964571,165
mmdp,1.343134684098473,0.814792562563659,165
random,1.2740019139871241,0.7289255980399127,170
mdp,1.3274196925637494,0.827805851639898,150
random_family,1.2905103206397823,0.7398022342019234,170
random_genus,1.2833579748882173,0.7496678687091194,165
mmdp,1.3417126726084874,0.8125391144612131,170
random,1.271585928180611,0.7279139999413095,175
mdp,1.3347750082671832,0.827017451656272,155
random_family,1.2889843278239952,0.7393450334039386,175
random_genus,1.2884140814135798,0.7502753229786824,170
mmdp,1.3451615416060143,0.8136156075104791,175
random,1.2771850109287697,0.730233944750038,180
mdp,1.3297510101906602,0.8268942980950816,160
random_family,1.287721310322179,0.7399284770338669,180
random_genus,1.28557711791967,0.74989332276861,175
mmdp,1.342486348752174,0.8124450388954035,180
random,1.2763699230234309,0.7343210291191935,185
random_family,1.288081127145897,0.7400461872184927,185
mdp,1.3357555675844524,0.8259886828769519,165
random_genus,1.2833689399066859,0.750055092661603,180
mmdp,1.3420126373443722,0.8115018461587485,185
random,1.274899650086617,0.7303406969561723,190
random_family,1.291433228446988,0.7414776975912811,190
random_genus,1.2878202989734602,0.7483676565698987,185
mdp,1.333182061949703,0.8246336049773951,170
mmdp,1.3407700873926824,0.8119693504000517,190
random,1.2829923464215254,0.7294347796327287,195
random_family,1.2929684872446177,0.743021321428125,195
mdp,1.3356989961145882,0.8267689032318611,175
random_genus,1.2898251948907435,0.7507152438936535,190
mmdp,1.3394570664629368,0.8122909316448801,195
random,1.284552624046985,0.7299079087903467,200
mdp,1.3376904406198797,0.8276468076408191,180
random_genus,1.2882538885397807,0.7514058278769512,195
random_family,1.2944476975863428,0.7415135586311062,200
mmdp,1.3433390214016978,0.8120085034665128,200
random,1.2785297254857992,0.7293545779873908,205
random_family,1.2914043330040572,0.740675331425442,205
mdp,1.344785543614072,0.8279074660311162,185
random_genus,1.2873958476972578,0.7480409517311071,200
mmdp,1.3410122214767106,0.8104627458079037,205
random,1.282045531796375,0.7308296815610232,210
random_family,1.2908735375090072,0.7420429435805319,210
random_genus,1.2879644932778205,0.7501198122495201,205
mmdp,1.3380320845168872,0.8091332407384979,210
mdp,1.3498424109393905,0.8282594064348074,190
random,1.285381371290295,0.730961411245463,215
random_family,1.2941862815762708,0.7419414804888532,215
random_genus,1.2897369053595407,0.7514349341057865,210
mmdp,1.3362142573324356,0.8080705758843013,215
mdp,1.346091411892365,0.8275746663129966,195
random,1.2800458762331135,0.7303979934033533,220
random_genus,1.2920276907067563,0.749144524534533,215
random_family,1.2924315160815483,0.7430045422838113,220
mdp,1.3547597891931786,0.8298920897032348,200
mmdp,1.3351136761845988,0.8077764927518046,220
random,1.2830533010211294,0.7301288214391565,225
random_genus,1.2926799342396627,0.7491355272709982,220
random_family,1.289409747438765,0.7433814500888697,225
mmdp,1.333103321977526,0.807203297052875,225
mdp,1.3543836918697756,0.8292710024653144,205
random,1.287324411878496,0.7344500258659366,230
random_genus,1.289815427034787,0.7510016728461504,225
mmdp,1.3315071421974167,0.8075287767880072,230
random_family,1.2886838266203084,0.742738954168205,230
mdp,1.3624399644114165,0.8304727825618498,210
random,1.2843723698147793,0.7340280748829333,235
random_genus,1.2912071693141245,0.7530677300057822,230
random_family,1.2925436728607855,0.7423798278261615,235
mmdp,1.3308929813782435,0.8071107128325813,235
mdp,1.361971088959226,0.8313905999851895,215
random,1.2843011319172883,0.7300602144750415,240
random_genus,1.290695930657988,0.7515727972875927,235
random_family,1.2933929044695134,0.7445452592770623,240
mmdp,1.3305294688333849,0.8071982584673085,240
mdp,1.3596431820880663,0.8307173231099089,220
random,1.2797883740923772,0.7313283206998495,245
random_genus,1.2896469911378,0.7494142084832977,240
random_family,1.2924966933919213,0.742507849785835,245
mmdp,1.3299401915072335,0.8067329070570948,245
random_genus,1.2910848747933894,0.7508650880621895,245
random,1.282251068074324,0.7330003065240778,250
mdp,1.3630241392536337,0.8314402678587357,225
random_family,1.2915991300674496,0.7414735200143696,250
mmdp,1.3335777240940079,0.8060632052213349,250
mdp,1.363481936723103,0.8312100485068545,230
random_genus,1.288755942218145,0.750616355217973,250
random,1.2844052200399498,0.7329906125167727,255
random_family,1.2949674850260304,0.7427926661368816,255
mmdp,1.332654041618776,0.805601558025523,255
random_genus,1.291341777899144,0.7490826741795625,255
random,1.2817619217719352,0.7327813204835227,260
random_family,1.2971497526525955,0.7426891998240055,260
mdp,1.3623685319972096,0.8301915754951923,235
mmdp,1.331149822849933,0.8045152537619858,260
random_genus,1.291936005154749,0.7502865182520708,260
random,1.2860211579754732,0.7311141467753741,265
mdp,1.360196480594643,0.8297128881628486,240
mmdp,1.330432765083366,0.8039132958842518,265
random_family,1.293749175340317,0.7430603878074944,265
random_genus,1.2859811055879997,0.7504915468655581,265
random,1.2835772509856644,0.7317485263654318,270
mdp,1.3561054564829134,0.8285401793579132,245
random_family,1.289159626015869,0.7425102227182192,270
mmdp,1.3293199257505144,0.8048881245728888,270
random_genus,1.287631750841006,0.7498082791812485,270
random,1.2830226072048705,0.7318532438438105,275
mdp,1.3590236412587935,0.831230912550786,250
mmdp,1.3274079625318607,0.8045279381580543,275
random_family,1.2898983604443384,0.7422926096958651,275
random_genus,1.2906807020226265,0.75124564932143,275
random,1.284350454430627,0.7313463232944488,280
mdp,1.3631947407505312,0.8310130581177595,255
