method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
random,63,1.0776063832739065,0.5564907612612331,0.8492822966507177,7.798601210270831,0.6929789271119804,11
random,64,1.1672607962530417,0.6206787543633525,0.8732057416267942,8.363248817800889,0.6506344159814901,11
random,65,1.0859014357854524,0.5944184503835411,0.861244019138756,8.13295815431931,0.6812012754049884,11
random,66,1.0232477880036648,0.5627755566507007,0.861244019138756,7.9619783948522755,0.6661377793665265,11
random,67,1.1430654589283398,0.679000552229392,0.9090909090909091,8.507408538787997,0.6314257386723056,11
random,68,1.0653003122040814,0.5921994088991049,0.8755980861244019,8.001126675867091,0.6581475945136125,11
random,69,1.1569221374467336,0.5458473211900088,0.8373205741626795,7.943491829882442,0.6711045982258134,11
random,70,1.0837319320165517,0.5923803669677431,0.8803827751196173,8.064026548141564,0.6458155003895397,11
random,71,1.091127108344554,0.56664816909779,0.8564593301435407,8.096086879655221,0.6491898889883636,11
random,72,1.1482923456203384,0.5627079544675285,0.861244019138756,7.854462966529455,0.644604002481713,11
random,73,1.0543223113570734,0.5837115722202325,0.8660287081339713,8.027823483165452,0.6569290369753175,11
random,74,1.0130550524290591,0.6764062700861296,0.9210526315789473,8.479850897663338,0.6502939900437859,11
random,75,0.9288956904712444,0.5601723890403218,0.8564593301435407,7.678177568486491,0.7113558892499716,11
random,76,1.0521236245705041,0.6731084526764133,0.9114832535885168,8.606872224592154,0.6100085269756731,11
random,77,1.1007588562847652,0.6276754215327937,0.8899521531100478,8.282809565606655,0.6588169584004385,11
random,78,1.113110633899594,0.6126622870950803,0.8779904306220095,8.06714697307178,0.672240465840353,11
random,79,1.0197574634607538,0.6009034188187621,0.8779904306220095,8.209701516723129,0.6610727750482636,11
random,80,1.0187408894471073,0.6011305542107565,0.8732057416267942,8.10513890214598,0.6607195514945711,11
random,81,1.118380441070734,0.6156532925006163,0.8875598086124402,8.141780518878894,0.6656335625841986,11
random,82,1.1362932799995356,0.5721040201848832,0.84688995215311,8.232569161027284,0.655213776302686,11
random,83,1.0956158064654846,0.5470084938103037,0.8349282296650717,8.082215765482276,0.6384452305378865,11
random,84,1.143133663543887,0.6212528207240967,0.8899521531100478,8.367379057015793,0.6467547132961736,11
random,85,1.1517480929297712,0.5774820660452226,0.8660287081339713,8.125182241435565,0.6605606016841129,11
random,86,1.1432361605613046,0.5700436534369445,0.8492822966507177,8.122137088996697,0.6393831940244729,11
random,87,1.1365787837230743,0.6394436915758468,0.8875598086124402,8.590658489307902,0.6177168977593135,11
random,88,1.1483313323081583,0.6045861049577799,0.8732057416267942,8.543032511340911,0.6019483010135231,11
random,89,1.1749883760295357,0.6127720595293613,0.8708133971291866,8.37964937972952,0.6201139454264762,11
random,90,1.1425393137033675,0.5535549631678879,0.8492822966507177,7.894428336115985,0.6823433578710016,11
random,91,1.0561755627807252,0.553869161795473,0.8492822966507177,7.914376467396697,0.6671745919623606,11
random,92,1.082163770741541,0.6363575849309079,0.9043062200956937,8.331418020676216,0.6462235436114238,11
random,93,1.2128532376632348,0.6141545303589742,0.868421052631579,8.399576632079238,0.6185170060941639,11
random,94,1.118300126506609,0.555153753831795,0.8492822966507177,8.125881827969224,0.6462640541339488,11
random,95,1.1002492866590485,0.6488700252872468,0.8995215311004785,8.587175401678486,0.619222873506714,11
random,96,0.8705122164208442,0.5904659935725841,0.8827751196172249,7.840136283487031,0.6846068342341075,11
random,97,1.0504706537307569,0.6580446179410145,0.9090909090909091,8.515662249859734,0.6277208543737909,11
random,98,1.0283579229837612,0.6691647561580477,0.9066985645933014,8.64499747380816,0.6154672582394438,11
random,99,1.1147853965553394,0.5588888583724451,0.8444976076555024,8.068130429549711,0.6570474447674026,11
random_family,0,1.0847262782219842,0.6630427820590317,0.916267942583732,8.538939159795442,0.6173232612423466,11
random_family,1,1.0991093447120492,0.6092360536304889,0.8851674641148325,8.076035657955323,0.684396194799368,11
random_family,2,1.157207287555923,0.5223322818450948,0.8229665071770335,7.600701418496643,0.6633115532650906,11
random_family,3,1.1114446239339708,0.6394440431156393,0.8947368421052632,8.305087340289724,0.6400976771832108,11
random_family,4,1.0583759760709701,0.6278455255296708,0.8875598086124402,8.366217813997288,0.6524474477541296,11
random_family,5,1.0726750455367644,0.5542784725810829,0.84688995215311,8.00294061987961,0.6754376681384943,11
random_family,6,1.1310419978904258,0.6311533575031105,0.8875598086124402,8.328528400148071,0.63613254053511,11
random_family,7,1.097437456842863,0.5786730897252769,0.8421052631578947,8.303732570131437,0.6491439721178535,11
random_family,8,1.0823605909336536,0.5925913152160566,0.868421052631579,7.981035642353424,0.6758666199048787,11
