method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
random_genus,8,0.8312776048612698,0.4163119777569126,0.7320574162679426,8.814573278619417,0.6085443210030901,5
random_genus,9,0.9985252580666701,0.5112427244124729,0.7918660287081339,8.650898850778772,0.6079610512842297,5
random_family,0,1.1456910065064372,0.6176376313826308,0.8803827751196173,8.227918155075379,0.6696861282012896,10
random_family,1,1.054962268398017,0.6369182159088419,0.8971291866028708,8.419135676942883,0.6297817407826227,10
random_family,2,1.101442604505752,0.6046393340756987,0.8803827751196173,8.131699602713677,0.6770490216631124,10
random_family,3,1.1378568126058146,0.5200685990965044,0.8205741626794258,7.729957142374282,0.6489503993177699,10
random_family,4,1.0555212267232394,0.6369474930199578,0.8923444976076556,8.410880779529904,0.6399847375347167,10
random_family,5,1.0648918881940082,0.6236862536277546,0.8803827751196173,8.451216407536512,0.6518683721421187,10
random_family,6,1.0538758870408196,0.5333055744770518,0.8325358851674641,7.979742618485407,0.6777237915410305,10
random_family,7,1.1136681589718218,0.6118481814654381,0.8732057416267942,8.230541324434917,0.6486149054265488,10
random_family,8,1.0772966350877016,0.5460092651223757,0.8181818181818182,8.345264749540304,0.6463159551175334,10
random_family,9,1.0193985807512522,0.5899567956181196,0.8636363636363636,8.027236112109648,0.6831442187439651,10
convenience,0,0.8939954868425578,0.6351921250657105,0.9138755980861244,8.099967402987954,0.6671320627282562,15
mdp,0,1.2582012317387714,0.6978969217457481,0.9043062200956937,9.859457496938393,0.488873929963992,15
random,0,1.1542732070930728,0.6313972772425617,0.9019138755980861,8.278652847383826,0.6377982469080921,15
random,1,1.098315340079908,0.5710968490461558,0.8827751196172249,7.737519635048805,0.7153779859358289,15
random,2,1.0474895045008765,0.6754632120115539,0.9282296650717703,8.405286566272375,0.6362316589774807,15
random,3,1.2187124811047305,0.6391110696018906,0.9090909090909091,8.419899944668863,0.6330289111193678,15
random,4,1.1005856666849458,0.6123003794507064,0.8995215311004785,8.18123923189641,0.6588772095899709,15
random,5,1.1561518958740895,0.6442987276395135,0.9138755980861244,8.390455544655476,0.6386733667352497,15
random,6,1.0935996174672304,0.6724223261118928,0.937799043062201,8.443717785404667,0.6224466563632821,15
random,7,1.0869257591565225,0.6110816273448764,0.8923444976076556,8.130969099794882,0.6583542841882664,15
random,8,1.0965858732444766,0.6120606333805076,0.8971291866028708,8.085936980319879,0.6734930910895027,15
random,9,1.1241116802710163,0.6474444832957893,0.916267942583732,8.467328060084371,0.6339796615231539,15
mmdp,0,1.3275897833145474,0.7212676998840495,0.9234449760765551,9.553335526207466,0.5343506940124705,15
random_genus,0,1.124055118440192,0.6045631934944562,0.868421052631579,8.397005306763598,0.6320221278102994,10
random_genus,1,1.1546419645121906,0.6254679396682957,0.8660287081339713,8.632910551939554,0.612839015442446,10
random_genus,2,1.105058608545615,0.5549368972805174,0.8397129186602871,7.888792324824512,0.6838763766678208,10
random_genus,3,1.033183502710187,0.5518927359430109,0.8277511961722488,8.479725688610706,0.646345156186985,10
random_genus,4,1.0962587130066812,0.6348668922001205,0.8875598086124402,8.761820767299273,0.5958962398946565,10
random_genus,5,1.1377407790520828,0.6409122895072912,0.8803827751196173,8.677370923812365,0.6242698898555068,10
random_genus,6,1.1206052251244563,0.5663112941226682,0.8397129186602871,8.21407574358602,0.6436294171600899,10
random_genus,7,1.041350471313747,0.6573878489834124,0.8971291866028708,8.537664357520246,0.6318418045253718,10
random_genus,8,1.1249345933364439,0.61984125036726,0.8732057416267942,8.615607357828084,0.6140394730284132,10
random_genus,9,1.091310028400561,0.6067400310300599,0.8755980861244019,8.295198354183368,0.6520607468574305,10
random_family,0,1.1193610721521734,0.6467057665569558,0.9090909090909091,8.452481966244825,0.6419481815504992,15
random_family,1,1.1199819557043427,0.6001339156572417,0.8851674641148325,8.226619310491575,0.6501442076815673,15
random_family,2,1.179440014065288,0.6667288343297259,0.9114832535885168,8.537742713562553,0.6244434631671765,15
random_family,3,1.1659602996737206,0.6535689612525835,0.8971291866028708,8.5275917701905,0.6318502421817794,15
random_family,4,1.112339164705097,0.6102822671343413,0.8851674641148325,8.091983802561701,0.6697622933810599,15
random_family,5,1.1813988325163498,0.6530238011340328,0.9138755980861244,8.365578507036055,0.6557694390294987,15
random_family,6,1.1358850321535205,0.6275272775678885,0.8923444976076556,8.169283846212728,0.653833439927114,15
random_family,7,1.1400847314172182,0.6515672450828331,0.9090909090909091,8.457667447892954,0.6192031030730325,15
random_family,8,1.1634236873468617,0.6428167082480694,0.9019138755980861,8.052917135711622,0.6600861000500269,15
random_family,9,1.1608173870970813,0.6119028298516701,0.8803827751196173,8.181233371103916,0.6526493290932708,15
mdp,0,1.3245342552328796,0.7775343038851559,0.9521531100478469,9.698072178625148,0.5068840184392057,20
convenience,0,0.9730617195362683,0.6484415183945069,0.9210526315789473,8.140089194718524,0.6660909103150502,20
random,0,1.2419603297694837,0.6738889446109929,0.9354066985645934,8.533329156927506,0.6211577418153702,20
